z_m,z_over_rayleigh,p_sim_pa,p_analytic_pa,p_sim_over_p0,p_analytic_over_p0
1.317295879125595093e-01,1.438227444887161255e-01,5.518289566040039062e+01,4.846199035644531250e+01,1.340692341327667236e-01,1.177404969930648804e-01
1.321807205677032471e-01,1.443153023719787598e-01,6.198535919189453125e+01,5.535366821289062500e+01,1.505961120128631592e-01,1.344841271638870239e-01
1.326318383216857910e-01,1.448078304529190063e-01,6.872035217285156250e+01,6.220777893066406250e+01,1.669590622186660767e-01,1.511364877223968506e-01
1.330829709768295288e-01,1.453003734350204468e-01,7.578736114501953125e+01,6.902314758300781250e+01,1.841286718845367432e-01,1.676947176456451416e-01
1.335340887308120728e-01,1.457929164171218872e-01,8.219298553466796875e+01,7.580167388916015625e+01,1.996914148330688477e-01,1.841634362936019897e-01
1.339852213859558105e-01,1.462854593992233276e-01,8.901060485839843750e+01,8.254225921630859375e+01,2.162551134824752808e-01,2.005399912595748901e-01
1.344363391399383545e-01,1.467779874801635742e-01,9.570674896240234375e+01,8.924365234375000000e+01,2.325236797332763672e-01,2.168213129043579102e-01
1.348874717950820923e-01,1.472705304622650146e-01,1.021337127685546875e+02,9.590633392333984375e+01,2.481382638216018677e-01,2.330085784196853638e-01
1.353385895490646362e-01,1.477630734443664551e-01,1.091012725830078125e+02,1.025315017700195312e+02,2.650662660598754883e-01,2.491047084331512451e-01
1.357897222042083740e-01,1.482556164264678955e-01,1.152602920532226562e+02,1.091187896728515625e+02,2.800298631191253662e-01,2.651088237762451172e-01
1.362408399581909180e-01,1.487481445074081421e-01,1.218536300659179688e+02,1.156671295166015625e+02,2.960486710071563721e-01,2.810182869434356689e-01
1.366919726133346558e-01,1.492407023906707764e-01,1.284929351806640625e+02,1.221746063232421875e+02,3.121791481971740723e-01,2.968284785747528076e-01
1.371430903673171997e-01,1.497332304716110229e-01,1.345746154785156250e+02,1.286455993652343750e+02,3.269548416137695312e-01,3.125500380992889404e-01
1.375942230224609375e-01,1.502257734537124634e-01,1.413994903564453125e+02,1.350751647949218750e+02,3.435361683368682861e-01,3.281709551811218262e-01
1.380453407764434814e-01,1.507183015346527100e-01,1.473661956787109375e+02,1.414668731689453125e+02,3.580325543880462646e-01,3.436998724937438965e-01
1.384964734315872192e-01,1.512108594179153442e-01,1.536971130371093750e+02,1.478189086914062500e+02,3.734137713909149170e-01,3.591324388980865479e-01
1.389475911855697632e-01,1.517033874988555908e-01,1.603282165527343750e+02,1.541318054199218750e+02,3.895243406295776367e-01,3.744698762893676758e-01
1.393987238407135010e-01,1.521959304809570312e-01,1.660316772460937500e+02,1.604052734375000000e+02,4.033811390399932861e-01,3.897115290164947510e-01
1.398498415946960449e-01,1.526884734630584717e-01,1.726744995117187500e+02,1.666390991210937500e+02,4.195201694965362549e-01,4.048568904399871826e-01
1.403009742498397827e-01,1.531810164451599121e-01,1.785030212402343750e+02,1.728337860107421875e+02,4.336808025836944580e-01,4.199071526527404785e-01
1.407520920038223267e-01,1.536735445261001587e-01,1.845362396240234375e+02,1.789891662597656250e+02,4.483387768268585205e-01,4.348619282245635986e-01
1.412032246589660645e-01,1.541661024093627930e-01,1.912080230712890625e+02,1.851042327880859375e+02,4.645481407642364502e-01,4.497187435626983643e-01
1.416543424129486084e-01,1.546586304903030396e-01,1.965023803710937500e+02,1.911810302734375000e+02,4.774110317230224609e-01,4.644825756549835205e-01
1.421054750680923462e-01,1.551511734724044800e-01,2.029276123046875000e+02,1.972171325683593750e+02,4.930213987827301025e-01,4.791475534439086914e-01
1.425565928220748901e-01,1.556437015533447266e-01,2.086705169677734375e+02,2.032146301269531250e+02,5.069740414619445801e-01,4.937187135219573975e-01
1.430077254772186279e-01,1.561362594366073608e-01,2.143744506835937500e+02,2.091718139648437500e+02,5.208320021629333496e-01,5.081919431686401367e-01
1.434588432312011719e-01,1.566287875175476074e-01,2.211343841552734375e+02,2.150892333984375000e+02,5.372555255889892578e-01,5.225685834884643555e-01
1.439099758863449097e-01,1.571213304996490479e-01,2.259920654296875000e+02,2.209675445556640625e+02,5.490574836730957031e-01,5.368502140045166016e-01
1.443610936403274536e-01,1.576138585805892944e-01,2.321658782958984375e+02,2.268050689697265625e+02,5.640570521354675293e-01,5.510327219963073730e-01
1.448122262954711914e-01,1.581064164638519287e-01,2.378754119873046875e+02,2.326054229736328125e+02,5.779286026954650879e-01,5.651249289512634277e-01
1.452633440494537354e-01,1.585989445447921753e-01,2.432200317382812500e+02,2.383638916015625000e+02,5.909135937690734863e-01,5.791153907775878906e-01
1.457144767045974731e-01,1.590914875268936157e-01,2.499233093261718750e+02,2.440842437744140625e+02,6.071994900703430176e-01,5.930132269859313965e-01
1.461655944585800171e-01,1.595840305089950562e-01,2.545099334716796875e+02,2.497655181884765625e+02,6.183428764343261719e-01,6.068161129951477051e-01
1.466167271137237549e-01,1.600765734910964966e-01,2.604014892578125000e+02,2.554060516357421875e+02,6.326566934585571289e-01,6.205200552940368652e-01
1.470678448677062988e-01,1.605691015720367432e-01,2.661274414062500000e+02,2.610102844238281250e+02,6.465681195259094238e-01,6.341357827186584473e-01
1.475189775228500366e-01,1.610616594552993774e-01,2.710852050781250000e+02,2.665721435546875000e+02,6.586132049560546875e-01,6.476485133171081543e-01
1.479701101779937744e-01,1.615542024374008179e-01,2.775810546875000000e+02,2.720967407226562500e+02,6.743951439857482910e-01,6.610707640647888184e-01
1.484212279319763184e-01,1.620467305183410645e-01,2.820675354003906250e+02,2.775817565917968750e+02,6.852952837944030762e-01,6.743968725204467773e-01
1.488723605871200562e-01,1.625392735004425049e-01,2.876466369628906250e+02,2.830270996093750000e+02,6.988499164581298828e-01,6.876265406608581543e-01
1.493234783411026001e-01,1.630318164825439453e-01,2.934371337890625000e+02,2.884341125488281250e+02,7.129182219505310059e-01,7.007631659507751465e-01
1.497746109962463379e-01,1.635243594646453857e-01,2.979813232421875000e+02,2.938028259277343750e+02,7.239584922790527344e-01,7.138066887855529785e-01
1.502257287502288818e-01,1.640168875455856323e-01,3.042375183105468750e+02,2.991316528320312500e+02,7.391582131385803223e-01,7.267532944679260254e-01
