theta_deg,SPL_sim_dB,SPL_analytic_dB,directivity_sim,directivity_analytic,p_far_abs_sim_pa,p_far_abs_analytic_pa,p_far_real,p_far_imag,r_far_m
1.850000000000000000e+01,1.110050704595947622e+02,1.109924190069561973e+02,1.070979480306811782e-01,1.063885320249825794e-01,1.004149823998552016e+01,1.002688291907663221e+01,7.940615364236496276e+00,-6.146406636473346730e+00,4.000000000000000000e+00
1.875000000000000000e+01,1.105474185138761953e+02,1.105349167050263475e+02,1.016011333897618024e-01,1.009298670859874042e-01,9.526117174733867543e+00,9.512415868953969067e+00,7.497049842452886637e+00,-5.877172116463555973e+00,4.000000000000000000e+00
1.900000000000000000e+01,1.100327313950390362e+02,1.100198625007780464e+02,9.575560326846933867e-02,9.511893764252263295e-02,8.978040563518824513e+00,8.964748671450442075e+00,7.029673661019187669e+00,-5.584702371636513618e+00,4.000000000000000000e+00
1.925000000000000000e+01,1.094562316236955155e+02,1.094423921491596587e+02,8.960643684094043993e-02,8.900071047393255663e-02,8.401495027448232733e+00,8.388119345675359995e+00,6.541869175891865673e+00,-5.271533589170542378e+00,4.000000000000000000e+00
1.950000000000000000e+01,1.088117458634637700e+02,1.087961965772679491e+02,8.319838960538623873e-02,8.261971546010199452e-02,7.800676839791379713e+00,7.786724733934065057e+00,6.036975910757154118e+00,-4.940190382140698944e+00,4.000000000000000000e+00
1.975000000000000000e+01,1.080912731001090066e+02,1.080730651866994378e+02,7.657575403590438645e-02,7.601987049491365500e-02,7.179738860699881542e+00,7.164704000210046608e+00,5.518277516671330929e+00,-4.593175737639888290e+00,4.000000000000000000e+00
2.000000000000000000e+01,1.072843471434305371e+02,1.072622050520341617e+02,6.978225253380554438e-02,6.924431425422135356e-02,6.542780500329411275e+00,6.526122868917744846e+00,4.988989376021316424e+00,-4.232961337106355693e+00,4.000000000000000000e+00
2.025000000000000000e+01,1.063770705568042132e+02,1.063491964267261949e+02,6.286098107600740503e-02,6.233524739234148904e-02,5.893842435315954198e+00,5.874958658024469926e+00,4.452246892597889527e+00,-3.861978283170884652e+00,4.000000000000000000e+00
2.050000000000000000e+01,1.053506014179954491e+02,1.053143298805787254e+02,5.585443947950050753e-02,5.533378268253528326e-02,5.236909446370602517e+00,5.215086155123609402e+00,3.911094504808220851e+00,-3.482608264497256023e+00,4.000000000000000000e+00
2.075000000000000000e+01,1.041786846008626526e+02,1.041298327453618242e+02,4.880472353991858331e-02,4.827980455728801690e-02,4.575928433182281374e+00,4.550264379417812144e+00,3.368475454172314087e+00,-3.097175187206024916e+00,4.000000000000000000e+00
2.100000000000000000e+01,1.028234196693362605e+02,1.027549624515814344e+02,4.175405033511985636e-02,4.121183844376106326e-02,3.914857666855207974e+00,3.884124266875475406e+00,2.827222336344836329e+00,-2.707937298500068479e+00,4.000000000000000000e+00
2.125000000000000000e+01,1.012275557778675648e+02,1.011266418946537442e+02,3.474604804636025057e-02,3.416693022896581666e-02,3.257787723477447273e+00,3.220157310091021241e+00,2.290048457000392279e+00,-2.317079825088141476e+00,4.000000000000000000e+00
2.150000000000000000e+01,9.929941382236799541e+01,9.913968305467669495e+01,2.782904596292346683e-02,2.718053612833918470e-02,2.609249954790144876e+00,2.561705178642670333e+00,1.759540010009987832e+00,-1.926708145969810548e+00,4.000000000000000000e+00
2.175000000000000000e+01,9.688091126940076947e+01,9.659863228920387712e+01,2.106556881199294837e-02,2.028642317084376756e-02,1.975106676080502055e+00,1.911950340034096252e+00,1.238149090514269135e+00,-1.538841516062150472e+00,4.000000000000000000e+00
2.200000000000000000e+01,9.367640836312590125e+01,9.307185935382925379e+01,1.456625958087284615e-02,1.351658045379263220e-02,1.365731768293120263e+00,1.273907695658709871e+00,7.281875507267635550e-01,-1.155407354092750527e+00,4.000000000000000000e+00
2.225000000000000000e+01,8.916054172011064338e+01,8.723294102252695836e+01,8.660734255089407724e-03,6.901141261650043171e-03,8.120300097117505445e-01,6.504172406695551967e-01,2.318217016569148192e-01,-7.782361051206492242e-01,4.000000000000000000e+00
2.250000000000000000e+01,8.457303806250712341e+01,6.386530417553687755e+01,5.107160778417329204e-03,4.683160853692473497e-04,4.788471386315366063e-01,4.413775120061873974e-02,-2.489321405786321662e-01,-4.090566850236653229e-01,4.000000000000000000e+00
2.275000000000000000e+01,8.804219876014924751e+01,8.565643055103207359e+01,7.614432918143838706e-03,5.755663477293775088e-03,7.139288487966640728e-01,5.424585029040362993e-01,-7.122112695464518639e-01,-4.949251130384538233e-02,4.000000000000000000e+00
2.300000000000000000e+01,9.251156706560371390e+01,9.185275889922083081e+01,1.273813890013402589e-02,1.174659001435478765e-02,1.194327264886004603e+00,1.107090026814846695e+00,-1.156309374262829870e+00,2.989418783676643931e-01,4.000000000000000000e+00
2.325000000000000000e+01,9.559069924996035184e+01,9.530650145779117111e+01,1.815777329305024237e-02,1.748231491114123418e-02,1.702471913952882332e+00,1.647669362777538060e+00,-1.579678509788429830e+00,6.348436213044876819e-01,4.000000000000000000e+00
