# Field minima and maxima
# Time                	min(U)                	max(U)                
0.002941              	4.76176544852524e-01	2.77938894543182e+00
0.0029415             	4.76414155746583e-01	2.77930870278047e+00
0.002942              	4.76654394679827e-01	2.77922194188305e+00
0.0029425             	4.76897218320106e-01	2.77912797944169e+00
0.002943              	4.77142595621263e-01	2.77902639960709e+00
0.0029435             	4.77390460067864e-01	2.77891696790431e+00
0.002944              	4.77640772737172e-01	2.77879960359207e+00
0.0029445             	4.77893458808362e-01	2.77867433025101e+00
0.002945              	4.78148543031233e-01	2.77854124236800e+00
0.0029455             	4.78406001569792e-01	2.77840026100616e+00
0.002946              	4.78665769680423e-01	2.77825155185630e+00
0.0029465             	4.78927814266351e-01	2.77809539644789e+00
0.002947              	4.79192136152017e-01	2.77793200169959e+00
0.0029475             	4.79458696657568e-01	2.77776165868153e+00
0.002948              	4.79727493131481e-01	2.77758456927405e+00
0.0029485             	4.79998513461031e-01	2.77740099950515e+00
0.002949              	4.80271732531047e-01	2.77721118913164e+00
0.0029495             	4.80547130316974e-01	2.77701536156428e+00
0.00295               	4.80824716568164e-01	2.77681374522052e+00
0.0029505             	4.81104500821012e-01	2.77660652591829e+00
0.002951              	4.81386417587828e-01	2.77639395070807e+00
0.0029515             	4.81670450265208e-01	2.77617618936505e+00
0.002952              	4.81956588921763e-01	2.77595345679256e+00
0.0029525             	4.82244839878353e-01	2.77572587864068e+00
0.002953              	4.82535163080446e-01	2.77549350716510e+00
0.0029535             	4.82827589699541e-01	2.77525641346661e+00
0.002954              	4.83121993663914e-01	2.77501471431957e+00
0.0029545             	4.83418430766370e-01	2.77476849961804e+00
0.002955              	4.83716863441800e-01	2.77451784560721e+00
0.0029555             	4.84017266634238e-01	2.77426275783686e+00
0.002956              	4.84319675805009e-01	2.77400322648453e+00
0.0029565             	4.84624086093405e-01	2.77373931160623e+00
0.002957              	4.84930457753112e-01	2.77347109928971e+00
0.0029575             	4.85238783457506e-01	2.77319863954032e+00
0.002958              	4.85549080961173e-01	2.77292144671063e+00
0.0029585             	4.85861333359450e-01	2.77263985750503e+00
0.002959              	4.86175543609889e-01	2.77235392405873e+00
0.0029595             	4.86491795933963e-01	2.77206366727093e+00
0.00296               	4.86809621374389e-01	2.77176910950348e+00
0.0029605             	4.87129020762212e-01	2.77147033335459e+00
0.002961              	4.87450311707898e-01	2.77116745744943e+00
0.0029615             	4.87773458477987e-01	2.77086071885247e+00
0.002962              	4.88098537902408e-01	2.77055047622310e+00
0.0029625             	4.88425465793581e-01	2.77023777427709e+00
0.002963              	4.88754227760220e-01	2.76990829838733e+00
0.0029635             	4.89084806130878e-01	2.76957005674192e+00
0.002964              	4.89417150586416e-01	2.76922554005241e+00
0.0029645             	4.89751167728529e-01	2.76885862563351e+00
0.002965              	4.90086910112714e-01	2.76849195773786e+00
0.0029655             	4.90444523694176e-01	2.76812384934844e+00
0.002966              	4.90802260416714e-01	2.76775010525962e+00
0.0029665             	4.91160501099878e-01	2.76738216176192e+00
0.002967              	4.91519460292319e-01	2.76701876920776e+00
0.0029675             	4.91879262721673e-01	2.76665339082387e+00
0.002968              	4.92240067358042e-01	2.76628417032922e+00
0.0029685             	4.92601786191247e-01	2.76591088912246e+00
0.002969              	4.92964752710677e-01	2.76554260431238e+00
0.0029695             	4.93330359448384e-01	2.76517315473782e+00
0.00297               	4.93697023507448e-01	2.76479911296922e+00
0.0029705             	4.94064704831818e-01	2.76441934442509e+00
0.002971              	4.94433437738084e-01	2.76403285209990e+00
0.0029715             	4.94803231192606e-01	2.76363821099018e+00
0.002972              	4.95174146379655e-01	2.76323634983274e+00
0.0029725             	4.95546152939789e-01	2.76283288230910e+00
0.002973              	4.95919235669538e-01	2.76243442443198e+00
0.0029735             	4.96293382514739e-01	2.76204875640706e+00
