time	WettedArea_bottom	maxU
6.54e-05	4.4383149184894e-06	8.43201385867e-07
6.55e-05	4.4383149184897e-06	8.4124690753839e-07
6.56e-05	4.43831491849e-06	8.3929838934674e-07
6.57e-05	4.4383149184903e-06	8.3735581058237e-07
6.58e-05	4.4383149184906e-06	8.354191506004e-07
6.59e-05	4.4383149184909e-06	8.334883888218e-07
6.6e-05	4.4383149184913e-06	8.3156350473168e-07
6.61e-05	4.4383149184916e-06	8.2964447788065e-07
6.62e-05	4.4383149184919e-06	8.2773128788457e-07
6.63e-05	4.4383149184922e-06	8.2582391442394e-07
6.64e-05	4.4383149184925e-06	8.2392233724454e-07
6.65e-05	4.4383149184928e-06	8.2202653615777e-07
6.66e-05	4.4383149184931e-06	8.2013649103929e-07
6.67e-05	4.4383149184934e-06	8.1825218182951e-07
6.68e-05	4.4383149184937e-06	8.1637358853448e-07
6.69e-05	4.438314918494e-06	8.1450069122508e-07
6.7e-05	4.4383149184943e-06	8.126334700367e-07
6.71e-05	4.4383149184946e-06	8.1077190516975e-07
6.72e-05	4.4383149184949e-06	8.0891597688856e-07
6.73e-05	4.4383149184952e-06	8.0706566552239e-07
6.74e-05	4.4383149184955e-06	8.0522095146498e-07
6.75e-05	4.4383149184958e-06	8.0338181517537e-07
6.76e-05	4.4383149184961e-06	8.0154823717711e-07
6.77e-05	4.4383149184964e-06	7.9972019805753e-07
6.78e-05	4.4383149184967e-06	7.9789767846909e-07
6.79e-05	4.438314918497e-06	7.9608065912869e-07
6.8e-05	4.4383149184973e-06	7.942691208172e-07
6.81e-05	4.4383149184976e-06	7.9246304438003e-07
6.82e-05	4.4383149184979e-06	7.9066241072667e-07
6.83e-05	4.4383149184982e-06	7.8886720083124e-07
6.84e-05	4.4383149184985e-06	7.8707739573175e-07
6.85e-05	4.4383149184988e-06	7.8529297653055e-07
6.86e-05	4.4383149184991e-06	7.8351392439368e-07
6.87e-05	4.4383149184994e-06	7.8174022055128e-07
6.88e-05	4.4383149184997e-06	7.7997184629884e-07
6.89e-05	4.4383149185e-06	7.7820878299861e-07
6.9e-05	4.4383149185002e-06	7.7645101207588e-07
6.91e-05	4.4383149185005e-06	7.7469851501914e-07
6.92e-05	4.4383149185008e-06	7.7295127337999e-07
6.93e-05	4.4383149185011e-06	7.712092687738e-07
6.94e-05	4.4383149185014e-06	7.6947248287761e-07
6.95e-05	4.4383149185017e-06	7.6774089743232e-07
6.96e-05	4.438314918502e-06	7.6601449424147e-07
6.97e-05	4.4383149185022e-06	7.6429325517124e-07
6.98e-05	4.4383149185025e-06	7.6257716215039e-07
6.99e-05	4.4383149185028e-06	7.6086619717073e-07
7e-05	4.4383149185031e-06	7.591603422865e-07
7.01e-05	4.4383149185034e-06	7.5745957961382e-07
7.02e-05	4.4383149185037e-06	7.5576389133307e-07
7.03e-05	4.4383149185039e-06	7.5407325968655e-07
7.04e-05	4.4383149185042e-06	7.5238766697901e-07
7.05e-05	4.4383149185045e-06	7.507070955752e-07
7.06e-05	4.4383149185048e-06	7.4903152790194e-07
7.07e-05	4.438314918505e-06	7.4736094644818e-07
7.08e-05	4.4383149185053e-06	7.4569533376324e-07
7.09e-05	4.4383149185056e-06	7.4403467245828e-07
7.1e-05	4.4383149185059e-06	7.4237894520558e-07
7.11e-05	4.4383149185061e-06	7.4072813473927e-07
7.12e-05	4.4383149185064e-06	7.3909313230834e-07
7.13e-05	4.4383149185067e-06	7.3755864077221e-07
7.14e-05	4.438314918507e-06	7.3602824781785e-07
7.15e-05	4.4383149185072e-06	7.345019416972e-07
7.16e-05	4.4383149185075e-06	7.3297971068363e-07
7.17e-05	4.4383149185078e-06	7.3146154307157e-07
7.18e-05	4.438314918508e-06	7.2994742717732e-07
7.19e-05	4.4383149185083e-06	7.2843735133945e-07
7.2e-05	4.4383149185086e-06	7.2693130391995e-07
7.21e-05	4.4383149185088e-06	7.2542927330371e-07
7.22e-05	4.4383149185091e-06	7.2393124789864e-07
7.23e-05	4.4383149185094e-06	7.2243721613593e-07
7.24e-05	4.4383149185096e-06	7.2094716647011e-07
7.25e-05	4.4383149185099e-06	7.1946108737868e-07
7.26e-05	4.4383149185102e-06	7.1797896736331e-07
7.27e-05	4.4383149185104e-06	7.165007949484e-07
7.28e-05	4.4383149185107e-06	7.1502655868294e-07
7.29e-05	4.4383149185109e-06	7.1355624713895e-07
7.3e-05	4.4383149185112e-06	7.1208984891291e-07
7.31e-05	4.4383149185115e-06	7.1062735262532e-07
7.32e-05	4.4383149185117e-06	7.0916874691912e-07
7.33e-05	4.438314918512e-06	7.0771402045767e-07
7.34e-05	4.4383149185122e-06	7.0626316192929e-07
7.35e-05	4.4383149185125e-06	7.0481616004752e-07
7.36e-05	4.4383149185128e-06	7.0337300355172e-07
7.37e-05	4.438314918513e-06	7.019336812068e-07
7.38e-05	4.4383149185133e-06	7.0049818180575e-07
7.39e-05	4.4383149185135e-06	6.9906649417713e-07
7.4e-05	4.4383149185138e-06	6.9763860717574e-07
7.41e-05	4.438314918514e-06	6.9621450967989e-07
7.42e-05	4.4383149185143e-06	6.9479419059241e-07
7.43e-05	4.4383149185145e-06	6.9337763884073e-07
7.44e-05	4.4383149185148e-06	6.9196484337663e-07
7.45e-05	4.438314918515e-06	6.9055579317717e-07
7.46e-05	4.4383149185153e-06	6.8915047724326e-07
7.47e-05	4.4383149185155e-06	6.877488845998e-07
7.48e-05	4.4383149185158e-06	6.8635100429888e-07
7.49e-05	4.438314918516e-06	6.8495682541684e-07
7.5e-05	4.4383149185163e-06	6.8356633705542e-07
7.51e-05	4.4383149185165e-06	6.8217952834238e-07
7.52e-05	4.4383149185168e-06	6.8079638843416e-07
7.53e-05	4.438314918517e-06	6.794169065174e-07
7.54e-05	4.4383149185173e-06	6.7804107180346e-07
7.55e-05	4.4383149185175e-06	6.76668873529e-07
7.56e-05	4.4383149185178e-06	6.7530030095548e-07
7.57e-05	4.438314918518e-06	6.7393534337065e-07
7.58e-05	4.4383149185183e-06	6.725739900872e-07
7.59e-05	4.4383149185185e-06	6.7121623044344e-07
7.6e-05	4.4383149185187e-06	6.6986205380344e-07
7.61e-05	4.438314918519e-06	6.6851144955755e-07
7.62e-05	4.4383149185192e-06	6.6716440712131e-07
7.63e-05	4.4383149185195e-06	6.6582091593708e-07
7.64e-05	4.4383149185197e-06	6.6448096547271e-07
7.65e-05	4.4383149185199e-06	6.6314454522326e-07
7.66e-05	4.4383149185202e-06	6.6181164470986e-07
7.67e-05	4.4383149185204e-06	6.6048225348013e-07
7.68e-05	4.4383149185207e-06	6.5915636110804e-07
7.69e-05	4.4383149185209e-06	6.5783395719408e-07
7.7e-05	4.4383149185211e-06	6.5651503136565e-07
7.71e-05	4.4383149185214e-06	6.5519957327605e-07
